row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Blank_MidRun08_1_1_4227.mzML Peak area,Blank_MidRun04_1_1_4187.mzML Peak area,Blank_PreRun06_1_1_4147.mzML Peak area,LSTHA00002_P1-F4_1_4201.mzML Peak area,Blank_MidRun12_1_1_4267.mzML Peak area,LSTHA00005_P1-F7_1_4204.mzML Peak area,LSTHA00006_P1-F8_1_4205.mzML Peak area,LSTHA00009_P2-A2_1_4209.mzML Peak area,LSTHA00007_P1-F9_1_4206.mzML Peak area,LSTHA00008_P2-A1_1_4208.mzML Peak area,LSTHA00003_P1-F5_1_4202.mzML Peak area,LSTHA00004_P1-F6_1_4203.mzML Peak area,LSTHA00025_P2-B9_1_4226.mzML Peak area,LSTHA00012_P2-A5_1_4212.mzML Peak area,LSTHA00013_P2-A6_1_4213.mzML Peak area,LSTHA00011_P2-A4_1_4211.mzML Peak area,LSTHA00015_P2-A8_1_4215.mzML Peak area,LSTHA00010_P2-A3_1_4210.mzML Peak area,LSTHA00024_P2-B8_1_4225.mzML Peak area,LSTHA00014_P2-A7_1_4214.mzML Peak area,LSTHA00016_P2-A9_1_4216.mzML Peak area,LSTHA00021_P2-B5_1_4222.mzML Peak area,LSTHA00018_P2-B2_1_4219.mzML Peak area,LSTHA00019_P2-B3_1_4220.mzML Peak area,LSTHA00029_P2-C4_1_4231.mzML Peak area,LSTHA00022_P2-B6_1_4223.mzML Peak area,LSTHA00023_P2-B7_1_4224.mzML Peak area,LSTHA00026_P2-C1_1_4228.mzML Peak area,LSTHA00017_P2-B1_1_4218.mzML Peak area,LSTHA00020_P2-B4_1_4221.mzML Peak area,LSTHA00031_P2-C6_1_4233.mzML Peak area,LSTHA00034_P2-C9_1_4236.mzML Peak area,LSTHA00028_P2-C3_1_4230.mzML Peak area,LSTHA00027_P2-C2_1_4229.mzML Peak area,LSTHA00030_P2-C5_1_4232.mzML Peak area,LSTHA00033_P2-C8_1_4235.mzML Peak area,MILST00044-Rerun_P1-A1_1_4148.mzML Peak area,LSTHA00039_P2-D5_1_4242.mzML Peak area,LSTHA00035_P2-D1_1_4238.mzML Peak area,LSTHA00040_P2-D6_1_4243.mzML Peak area,LSTHA00032_P2-C7_1_4234.mzML Peak area,LSTHA00038_P2-D4_1_4241.mzML Peak area,LSTHA00042_P2-D8_1_4245.mzML Peak area,LSTHA00037_P2-D3_1_4240.mzML Peak area,LSTHA00036_P2-D2_1_4239.mzML Peak area,LSTHA00041_P2-D7_1_4244.mzML Peak area,LSTHA00043_P2-D9_1_4246.mzML Peak area,LSTHA00044_P2-E1_1_4248.mzML Peak area,MILST00048_P1-A5_1_4152.mzML Peak area,MILST00049_P1-A6_1_4153.mzML Peak area,LSTHA00045_P2-E2_1_4249.mzML Peak area,MILST00047_P1-A4_1_4151.mzML Peak area,MILST00045_P1-A2_1_4149.mzML Peak area,MILST00052_P1-A9_1_4156.mzML Peak area,MILST00055_P1-B3_1_4160.mzML Peak area,MILST00054_P1-B2_1_4159.mzML Peak area,MILST00051_P1-A8_1_4155.mzML Peak area,MILST00053_P1-B1_1_4158.mzML Peak area,MILST00056_P1-B4_1_4161.mzML Peak area,MILST00046_P1-A3_1_4150.mzML Peak area,MILST00057_P1-B5_1_4162.mzML Peak area,MILST00060_P1-B8_1_4165.mzML Peak area,MILST00059_P1-B7_1_4164.mzML Peak area,MILST00050_P1-A7_1_4154.mzML Peak area,MILST00058_P1-B6_1_4163.mzML Peak area,MILST00061_P1-B9_1_4166.mzML Peak area,MILST00068_P1-C7_1_4174.mzML Peak area,MILST00065_P1-C4_1_4171.mzML Peak area,MILST00066_P1-C5_1_4172.mzML Peak area,MILST00069_P1-C8_1_4175.mzML Peak area,MILST00064_P1-C3_1_4170.mzML Peak area,MILST00063_P1-C2_1_4169.mzML Peak area,MILST00075_P1-D5_1_4182.mzML Peak area,MILST00074_P1-D4_1_4181.mzML Peak area,MILST00067_P1-C6_1_4173.mzML Peak area,MILST00070_P1-C9_1_4176.mzML Peak area,MILST00073_P1-D3_1_4180.mzML Peak area,MILST00062_P1-C1_1_4168.mzML Peak area,MILST00072_P1-D2_1_4179.mzML Peak area,MILST00071_P1-D1_1_4178.mzML Peak area,MILST00083_P1-E4_1_4191.mzML Peak area,MILST00079_P1-D9_1_4186.mzML Peak area,MILST00078_P1-D8_1_4185.mzML Peak area,MILST00086_P1-E7_1_4194.mzML Peak area,MILST00085_P1-E6_1_4193.mzML Peak area,MILST00084_P1-E5_1_4192.mzML Peak area,MILST00077_P1-D7_1_4184.mzML Peak area,MILST00081_P1-E2_1_4189.mzML Peak area,MILST00076_P1-D6_1_4183.mzML Peak area,MILST00082_P1-E3_1_4190.mzML Peak area,MILST00089_P1-F1_1_4198.mzML Peak area,MILST00088_P1-E9_1_4196.mzML Peak area,MILST00091_P1-F3_1_4200.mzML Peak area,MILST00087_P1-E8_1_4195.mzML Peak area,MILST00080_P1-E1_1_4188.mzML Peak area,MILST00090_P1-F2_1_4199.mzML Peak area,
39,86.0962912348769,1.078289,,,,54,1,[M+NH4]+,,2,39;52,68.06296,0,0,0,0,0,2327.519,1177.5641,1492.9662,1414.8579,1439.7197,2237.6365,1267.585,0,1505.4142,1743.1802,2641.4211,1021.31024,1237.6792,0,1531.6777,1824.995,967.7314,2122.7344,636.9219,4665.005,2589.469,2110.0222,2296.6921,1433.5548,1020.19574,2064.0325,3516.559,4230.7354,4236.767,1687.657,2116.2764,0,3849.5344,3719.2078,3790.5803,1909.8002,2530.3423,2691.323,2048.239,2125.9365,7297.4985,3072.5059,6618.8584,2200.5835,1597.9352,1809.835,2179.8103,3137.5889,4172.498,3092.2852,3818.8342,2271.4526,3504.167,2615.189,2373.5435,832.6002,2496.8743,2268.6472,1892.2687,2725.0464,2918.7712,0,973.51196,1116.4695,3519.987,3174.0603,1985.8284,1652.1857,3931.749,3481.0183,3699.0232,961.7884,3447.8228,6443.1914,3824.6975,2627.5764,1754.7518,1896.1411,2835.471,1175.583,3290.8894,1706.9238,1478.499,1684.4644,2730.7205,1575.4238,4798.335,1559.9349,4212.186,2452.8884,1962.1035,
79,86.09629611999084,1.3132771,,,,155,,,,,,,0,0,0,0,0,1088.1311,514.58954,582.4541,596.6387,608.5386,1012.1749,664.9681,0,618.27136,755.161,1286.384,382.93198,526.99396,0,579.13354,854.1482,378.3334,858.8985,247.55591,2423.4597,1033.3173,917.68146,1089.1556,655.8045,414.27036,907.5779,1909.6475,2031.5135,2165.1384,693.3978,1015.215,0,1823.2567,2044.0786,1935.9781,857.0711,1314.9355,1188.509,894.2749,984.76843,4246.812,1617.064,3871.538,990.3459,648.9639,776.5782,1074.429,1639.2921,2484.9482,1402.2233,1873.5,1236.7529,1587.5745,1242.813,1289.1033,323.25528,1182.693,1088.6868,989.96533,1264.5845,1294.2327,0,420.85355,559.25854,1615.3755,1503.3109,976.60223,691.90326,2106.3606,1669.7378,1658.6718,426.06866,1675.0906,3338.0671,1883.0903,1262.4501,781.0213,1042.848,1343.6293,546.99274,1556.5542,786.9018,603.9047,742.0722,1373.5156,691.5228,2424.7595,731.4486,2137.829,1176.6241,1171.6565,
869,91.05432631704409,3.8448782,,,,38,,,,,,,0,0,0,0,0,463.09055,357.2143,190.40337,342.37253,283.5201,310.84528,328.82684,0,224.28764,243.67436,160.16971,375.95657,217.71857,0,363.95697,175.47324,527.6347,355.46945,255.0816,342.90796,211.39479,168.89026,465.38605,568.5828,131.42917,297.2093,351.3554,180.57338,415.41293,300.2796,374.63818,0,288.9514,363.33276,109.4234,230.92178,341.8421,232.80301,593.7892,384.38513,252.91035,250.05429,847.1384,377.0365,352.3832,282.29767,208.07828,604.5409,600.6236,418.19843,496.3175,473.98917,331.9416,214.93626,489.44946,267.77338,610.9311,189.94833,350.28836,273.94107,467.73468,0,426.9161,376.8725,379.61044,451.71057,436.64996,372.61758,480.7556,328.97073,577.1048,545.644,660.1183,241.67345,303.14807,340.58102,241.99475,415.29755,580.7952,499.1076,332.46762,479.0465,174.23224,560.7926,361.45026,324.1794,868.97894,601.12286,595.7701,256.1421,587.198,
65,98.98422423434683,1.1943096,,,,,,,,,,,0,0,0,0,0,37.414948,18.292639,20.490622,172.86218,104.72454,180.71236,32.131668,0,259.28012,1051.6101,483.2248,115.630356,57.511368,0,284.74402,548.561,152.4374,62.206722,66.189575,340.008,419.1956,213.02478,247.2316,0,203.87363,865.6095,2084.39,424.34396,413.43567,276.98828,78.479195,0,457.37067,2092.2979,743.0792,73.75599,418.56992,161.09889,30.01579,158.6682,715.2585,2227.1628,740.6226,131.78151,0,334.27744,263.23438,205.57028,232.7591,804.8848,1042.1753,1303.7214,64.725525,282.53717,430.2645,173.10403,279.28616,381.27448,1441.9044,493.48502,145.9939,0,300.53094,34.47726,1067.3671,174.63797,86.14845,475.7323,457.16492,779.5354,434.92703,359.24207,1388.4933,4942.677,788.194,951.3285,206.9862,149.31964,129.04782,742.85986,123.40765,1351.2761,131.22885,0,321.30316,652.66956,695.85693,17.795198,438.5703,1721.119,847.33044,
142,100.07578208846289,1.5642128,,,,,,,,,,,0,0,0,0,0,768.5848,281.77686,17.558853,103.01931,142.29175,100.358925,213.04016,0,20.98824,601.3605,97.70838,45.47399,332.891,0,176.86823,446.7747,13.544674,314.58298,190.95439,120.810005,73.64722,27.51741,43.141907,49.10607,14.872277,145.07553,50.026447,56.365852,331.69165,172.67183,477.99985,0,135.88774,526.70374,59.834827,202.62595,353.7965,17.577587,799.4119,65.930534,49.266296,20.442505,626.1994,457.0173,267.42624,8.534801,346.38992,26.211351,1634.1846,258.36096,29.2251,469.03195,182.205,71.296814,207.73407,305.80276,225.4062,37.48842,174.81628,30.377468,1163.6898,0,177.56946,172.39726,107.23801,191.88153,661.58453,39.818413,114.72701,132.12843,273.26465,301.0277,161.54156,1758.1425,214.81523,75.583275,627.89465,43.749813,21.46278,235.53418,128.63428,593.1519,20.433064,193.84639,190.11954,217.88963,1021.3389,159.841,2668.0557,19.257982,39.410652,
170,101.05977633512651,1.7750897,,,,113,,,,,,,0,0,0,0,0,87.45673,22.88949,23.7655,32.713203,7.154901,86.75155,595.1734,0,37.54773,54.249207,105.797775,10.96703,4.422039,0,35.057407,40.032013,8.598974,55.295002,28.191017,15.249167,107.099,51.217495,41.22324,1007.2918,137.94717,18.53803,119.57913,65.646416,62.15696,52.50199,209.46387,0,33.925594,45.42218,92.660904,265.17484,31.202127,91.25968,574.61237,229.61823,44.82402,65.16287,86.675385,146.30972,36.89538,59.939724,985.9489,201.67693,94.786575,20.242485,46.635628,9.686456,36.153088,153.22177,1025.8214,36.36942,128.37921,130.76086,165.34666,72.90474,487.5381,0,38.631424,19.780216,29.314774,99.672066,326.3673,48.616703,21.746145,104.019066,47.321075,0,216.16995,79.38324,73.09742,27.86385,148.73235,1087.1311,8.010702,0,56.82232,29.026495,565.0341,805.691,61.31299,8.216643,113.57411,206.68732,154.91754,476.93817,206.04813,
110,101.05980336827054,1.4216743,,,,,,,,,,,0,0,0,0,0,182.47849,93.087555,31.571962,134.67313,87.8985,144.78983,75.53308,0,91.405014,93.7281,109.82368,197.20804,76.899025,0,224.40129,46.17195,45.2259,399.93207,56.074562,102.65687,169.31221,147.60631,146.91655,164.4413,57.140125,202.9097,158.68422,99.71467,187.93858,231.72054,129.44852,0,142.69044,80.49639,153.93263,130.0252,146.64049,113.61742,199.27138,109.57137,140.20952,135.91132,132.86945,49.01946,218.11449,191.58861,193.87735,180.2146,133.86836,91.550446,173.30595,0,61.89583,133.75864,150.12102,75.21177,166.31259,132.33446,141.09647,229.81816,221.25049,0,40.097404,74.24337,86.277336,204.41162,119.62219,109.875015,169.61511,152.00655,226.7099,11.460159,186.55296,89.621925,108.47099,119.650024,394.51544,193.02415,126.41149,53.15506,109.868385,179.96194,66.55713,123.6893,104.010635,105.57707,110.626625,112.35999,153.63783,127.111565,148.16884,
111,103.05430024036428,1.4036006,,,,37,5,[M+H]+,,1,112,102.04702,0,0,0,0,0,73.7291,36.9458,56.303524,56.59853,28.217628,97.910225,33.00072,0,48.893005,83.69932,106.08732,24.12165,23.423649,0,48.80262,69.12635,27.464586,75.05677,15.539791,238.05981,76.887,105.06479,101.949326,31.78509,25.38731,71.70886,176.16412,150.78918,257.65347,52.08504,72.76893,0,204.16928,181.51707,172.31989,58.397034,137.17163,111.5283,88.68894,73.286995,389.74368,124.72142,473.0743,164.0898,96.80755,63.624046,126.475716,197.0113,182.56723,136.47948,167.93216,0,167.4018,99.564445,107.66387,38.200836,184.18456,92.80553,91.75973,110.81608,113.84211,0,47.963745,39.26964,149.19708,143.07545,121.101425,75.681046,227.25488,147.09132,138.90268,40.313377,151.86868,321.7027,212.71779,144.59084,102.98708,86.627556,151.83328,39.032745,163.81682,73.46396,43.479492,44.954967,136.3093,56.9472,360.96954,37.207863,297.99277,107.54689,66.986404,
652,103.07542438533046,3.373378,,,,67,,,,,,,0,0,0,0,0,1.1829948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.13794,0,0,0,0,0,0,0,68.36592,0,0,0,0,0,210.21246,54.251,0,0,0,0,80.83701,0,0,3.727425,0,0,41.13381,0,0,0,0,0,0,0,0,18.676777,0,0,0,0,0,116.35752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
338,105.03352449524043,2.6323037,,,,31,,,,,,,0,0,0,0,0,123.033966,49.048912,0,0,15.740662,0,0,0,0,0,0,0,402.33853,0,0,0,0,0,0,0,0,3.993843,0,0,64.619446,0,0,0,0,0,0,0,0,89.49544,0,3746.0566,36.039692,0,37.898663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.52362,0,183.51501,0,0,0,0,0,0,0,0,86.01229,246.80025,813.2649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744.0828,138.99086,0,0,0,
