species	genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Abyssivirga alkaniphila	Abyssivirga	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria							16.077777582164245								19.635757963417507												19.32483162720781	13.225100044287256					19.39809427696476				24.06269200926891							17.52585358528079					17.772744434808683			20.91023141954401	10.962699096827617	13.170659230204702					16.62191412862464		15.391715113681382						19.55441392181168		16.742069426835197											27.01391163185372				23.94096186134099								16.884900179719715				
Acetanaerobacterium elongatum	Acetanaerobacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria				16.099315239020083			17.935377884063797		18.57046456574536						14.10136737303035					12.999529760006322							14.488477101500845	19.2466208908948	28.78722865252092				34.620207456820474		13.124823930235191		17.979093700870532							34.18401694752439	11.223006713128028							28.367334725950005	13.143844283714824	12.54648860201353										10.281770852218154				17.202638084182855	22.57052061050488	16.81585302890987									30.209367928868154	29.082452704094774				19.412859408596464					46.23360848415316			17.809452295591043				18.658799796098872
Acetivibrio ethanolgignens	Acetivibrio	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		18.6017137782809					16.053552277246393	11.152172093597263	33.83533804548715					33.357238568855664	18.763628697635045												11.938057030725949			14.861877631592966			25.555814831231874	27.62668789164793		19.08175711863929	16.82814339223711		19.1125838552573	14.99895134230793	16.465440696565018			27.31156340503526	20.127372708184005	17.427512410356876					25.672842861090487	99.98390788852544		15.823288659522628			17.546960772717025	18.57367523379996	13.77670991179376	1.0106382978723405	14.325884923420013						13.52369904513019	14.702326249866356	13.61330680187349		12.19721738458136		15.493494767306924						22.79468956711654	16.75171301356467				16.96538204520802					15.68139919844189						14.683056929873286	11.139416165696703
Acetoanaerobium pronyense	Acetoanaerobium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria																																																												1.0106382978723405																																				
Acidaminococcus fermentans	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria															29.62663796729028																18.05919451048503					17.10718768400831					25.02767190004347								13.940584948186904					19.10206728388453					29.33051689496068										12.041562599466657																											
Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			23.969655665581115																																																																																													
Acinetobacter bouvetii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			13.748049514134836																																																																																													
Acinetobacter cumulans	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			48.14161777983362																																																																																													
Acinetobacter equi	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			18.07175789345921																																																																																													
Acinetobacter gandensis	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			36.11214458790732																																																																																													
