row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Blank_MidRun04_1_1_4187.mzML Peak area,Blank_MidRun08_1_1_4227.mzML Peak area,Blank_PreRun06_1_1_4147.mzML Peak area,LSTHA00002_P1-F4_1_4201.mzML Peak area,Blank_MidRun12_1_1_4267.mzML Peak area,LSTHA00006_P1-F8_1_4205.mzML Peak area,LSTHA00010_P2-A3_1_4210.mzML Peak area,LSTHA00012_P2-A5_1_4212.mzML Peak area,LSTHA00009_P2-A2_1_4209.mzML Peak area,LSTHA00003_P1-F5_1_4202.mzML Peak area,LSTHA00008_P2-A1_1_4208.mzML Peak area,LSTHA00005_P1-F7_1_4204.mzML Peak area,LSTHA00014_P2-A7_1_4214.mzML Peak area,LSTHA00007_P1-F9_1_4206.mzML Peak area,LSTHA00018_P2-B2_1_4219.mzML Peak area,LSTHA00013_P2-A6_1_4213.mzML Peak area,LSTHA00004_P1-F6_1_4203.mzML Peak area,LSTHA00011_P2-A4_1_4211.mzML Peak area,LSTHA00024_P2-B8_1_4225.mzML Peak area,LSTHA00025_P2-B9_1_4226.mzML Peak area,LSTHA00015_P2-A8_1_4215.mzML Peak area,LSTHA00016_P2-A9_1_4216.mzML Peak area,LSTHA00019_P2-B3_1_4220.mzML Peak area,LSTHA00017_P2-B1_1_4218.mzML Peak area,LSTHA00029_P2-C4_1_4231.mzML Peak area,LSTHA00021_P2-B5_1_4222.mzML Peak area,LSTHA00020_P2-B4_1_4221.mzML Peak area,LSTHA00028_P2-C3_1_4230.mzML Peak area,LSTHA00022_P2-B6_1_4223.mzML Peak area,LSTHA00027_P2-C2_1_4229.mzML Peak area,LSTHA00026_P2-C1_1_4228.mzML Peak area,LSTHA00030_P2-C5_1_4232.mzML Peak area,LSTHA00031_P2-C6_1_4233.mzML Peak area,LSTHA00034_P2-C9_1_4236.mzML Peak area,LSTHA00023_P2-B7_1_4224.mzML Peak area,LSTHA00035_P2-D1_1_4238.mzML Peak area,LSTHA00039_P2-D5_1_4242.mzML Peak area,LSTHA00038_P2-D4_1_4241.mzML Peak area,LSTHA00047_P2-E3_1_4250.mzML Peak area,LSTHA00040_P2-D6_1_4243.mzML Peak area,LSTHA00036_P2-D2_1_4239.mzML Peak area,LSTHA00033_P2-C8_1_4235.mzML Peak area,LSTHA00048_P2-E4_1_4251.mzML Peak area,LSTHA00050_P2-E6_1_4253.mzML Peak area,LSTHA00049_P2-E5_1_4252.mzML Peak area,LSTHA00052_P2-E8_1_4255.mzML Peak area,LSTHA00051_P2-E7_1_4254.mzML Peak area,LSTHA00032_P2-C7_1_4234.mzML Peak area,LSTHA00053_P2-E9_1_4256.mzML Peak area,LSTHA00055_P2-F2_1_4259.mzML Peak area,LSTHA00043_P2-D9_1_4246.mzML Peak area,LSTHA00042_P2-D8_1_4245.mzML Peak area,LSTHA00059_P2-F6_1_4263.mzML Peak area,LSTHA00037_P2-D3_1_4240.mzML Peak area,LSTHA00056_P2-F3_1_4260.mzML Peak area,LSTHA00057_P2-F4_1_4261.mzML Peak area,LSTHA00058_P2-F5_1_4262.mzML Peak area,LSTHA00054_P2-F1_1_4258.mzML Peak area,LSTHA00041_P2-D7_1_4244.mzML Peak area,LSTHA00045_P2-E2_1_4249.mzML Peak area,LSTHA00062_P2-F9_1_4266.mzML Peak area,MILST00044-Rerun_P1-A1_1_4148.mzML Peak area,LSTHA00064_P1-A2_1_4269.mzML Peak area,LSTHA00063_P1-A1_1_4268.mzML Peak area,LSTHA00060_P2-F7_1_4264.mzML Peak area,LSTHA00044_P2-E1_1_4248.mzML Peak area,LSTHA00065_P1-A3_1_4270.mzML Peak area,LSTHA00068_P1-A6_1_4273.mzML Peak area,LSTHA00066_P1-A4_1_4271.mzML Peak area,LSTHA00067_P1-A5_1_4272.mzML Peak area,LSTHA00061_P2-F8_1_4265.mzML Peak area,MILST00053_P1-B1_1_4158.mzML Peak area,MILST00051_P1-A8_1_4155.mzML Peak area,MILST00055_P1-B3_1_4160.mzML Peak area,MILST00048_P1-A5_1_4152.mzML Peak area,MILST00049_P1-A6_1_4153.mzML Peak area,MILST00045_P1-A2_1_4149.mzML Peak area,MILST00052_P1-A9_1_4156.mzML Peak area,MILST00068_P1-C7_1_4174.mzML Peak area,MILST00054_P1-B2_1_4159.mzML Peak area,MILST00057_P1-B5_1_4162.mzML Peak area,MILST00056_P1-B4_1_4161.mzML Peak area,MILST00050_P1-A7_1_4154.mzML Peak area,MILST00046_P1-A3_1_4150.mzML Peak area,MILST00065_P1-C4_1_4171.mzML Peak area,MILST00064_P1-C3_1_4170.mzML Peak area,MILST00047_P1-A4_1_4151.mzML Peak area,MILST00058_P1-B6_1_4163.mzML Peak area,MILST00061_P1-B9_1_4166.mzML Peak area,MILST00060_P1-B8_1_4165.mzML Peak area,MILST00069_P1-C8_1_4175.mzML Peak area,MILST00072_P1-D2_1_4179.mzML Peak area,MILST00059_P1-B7_1_4164.mzML Peak area,MILST00071_P1-D1_1_4178.mzML Peak area,MILST00067_P1-C6_1_4173.mzML Peak area,MILST00066_P1-C5_1_4172.mzML Peak area,MILST00073_P1-D3_1_4180.mzML Peak area,MILST00070_P1-C9_1_4176.mzML Peak area,MILST00074_P1-D4_1_4181.mzML Peak area,MILST00077_P1-D7_1_4184.mzML Peak area,MILST00063_P1-C2_1_4169.mzML Peak area,MILST00062_P1-C1_1_4168.mzML Peak area,MILST00082_P1-E3_1_4190.mzML Peak area,MILST00083_P1-E4_1_4191.mzML Peak area,MILST00075_P1-D5_1_4182.mzML Peak area,MILST00084_P1-E5_1_4192.mzML Peak area,MILST00079_P1-D9_1_4186.mzML Peak area,MILST00076_P1-D6_1_4183.mzML Peak area,MILST00089_P1-F1_1_4198.mzML Peak area,MILST00081_P1-E2_1_4189.mzML Peak area,MILST00080_P1-E1_1_4188.mzML Peak area,MILST00086_P1-E7_1_4194.mzML Peak area,MILST00085_P1-E6_1_4193.mzML Peak area,MILST00078_P1-D8_1_4185.mzML Peak area,MILST00087_P1-E8_1_4195.mzML Peak area,MILST00090_P1-F2_1_4199.mzML Peak area,MILST00088_P1-E9_1_4196.mzML Peak area,MILST00091_P1-F3_1_4200.mzML Peak area,
40,86.09629747265487,1.0771681,,,,66,,,,,,,0,0,0,0,0,1177.5641,1237.6792,1505.4142,1492.9662,2237.6365,1439.7197,2327.519,1531.6777,1414.8579,2122.7344,1743.1802,1267.585,2641.4211,0,0,1021.31024,1824.995,636.9219,1433.5548,4665.005,967.7314,1020.19574,4230.7354,2589.469,4236.767,2296.6921,1687.657,2064.0325,3516.559,2110.0222,3719.2078,3849.5344,2530.3423,0,3790.5803,2125.9365,2116.2764,76.18028,115.56086,178.39943,136.6958,73.90375,1909.8002,98.60744,94.80957,3072.5059,2691.323,78.61868,2048.239,49.06023,117.450134,61.0208,75.98173,7297.4985,1809.835,88.80382,0,210.55927,45.69291,90.00373,6618.8584,76.91946,52.904186,69.71883,48.795128,43.1742,3504.167,2271.4526,3092.2852,2200.5835,1597.9352,3137.5889,4172.498,0,3818.8342,832.6002,2615.189,1892.2687,2373.5435,973.51196,3174.0603,2179.8103,2725.0464,2918.7712,2496.8743,3519.987,6443.1914,2268.6472,3824.6975,3481.0183,1116.4695,961.7884,3699.0232,3931.749,1706.9238,1985.8284,3447.8228,2730.7205,2627.5764,1652.1857,3290.8894,1754.7518,1684.4644,1575.4238,1478.499,2452.8884,2835.471,1175.583,1896.1411,4212.186,1962.1035,4798.335,1559.9349,
80,86.09629849702543,1.3126906,,,,191,,,,,,,0,0,0,0,0,514.58954,526.99396,618.27136,582.4541,1012.1749,608.5386,1088.1311,579.13354,596.6387,858.8985,755.161,664.9681,1286.384,0,0,382.93198,854.1482,247.55591,655.8045,2423.4597,378.3334,414.27036,2031.5135,1033.3173,2165.1384,1089.1556,693.3978,907.5779,1909.6475,917.68146,2044.0786,1823.2567,1314.9355,0,1935.9781,984.76843,1015.215,34.89385,51.25266,80.77876,67.12788,29.879898,857.0711,45.551006,35.71405,1617.064,1188.509,10.780766,894.2749,19.83457,51.193047,34.053177,39.08361,4246.812,776.5782,37.37702,0,106.48891,11.595059,47.101677,3871.538,35.306477,17.294865,43.7602,9.919236,16.84383,1587.5745,1236.7529,1402.2233,990.3459,648.9639,1639.2921,2484.9482,0,1873.5,323.25528,1242.813,989.96533,1289.1033,420.85355,1503.3109,1074.429,1264.5845,1294.2327,1182.693,1615.3755,3338.0671,1088.6868,1883.0903,1669.7378,559.25854,426.06866,1658.6718,2106.3606,786.9018,976.60223,1675.0906,1373.5156,1262.4501,691.90326,1556.5542,781.0213,742.0722,691.5228,603.9047,1176.6241,1343.6293,546.99274,1042.848,2137.829,1171.6565,2424.7595,731.4486,
870,91.05432631704407,3.8448782,,,,48,,,,,,,0,0,0,0,0,357.2143,217.71857,224.28764,190.40337,310.84528,283.5201,463.09055,363.95697,342.37253,355.46945,243.67436,328.82684,160.16971,0,0,375.95657,175.47324,255.0816,568.5828,342.90796,527.6347,131.42917,180.57338,211.39479,415.41293,465.38605,300.2796,297.2093,351.3554,168.89026,363.33276,288.9514,341.8421,0,109.4234,384.38513,374.63818,0,0,0,0,0,230.92178,0,0,250.05429,232.80301,0,593.7892,0,0,0,0,252.91035,282.29767,0,0,0,0,0,847.1384,0,0,0,0,0,331.9416,473.98917,418.19843,377.0365,352.3832,604.5409,600.6236,0,496.3175,267.77338,214.93626,350.28836,489.44946,426.9161,451.71057,208.07828,273.94107,467.73468,610.9311,379.61044,241.67345,189.94833,303.14807,328.97073,376.8725,545.644,577.1048,480.7556,479.0465,436.64996,660.1183,361.45026,340.58102,372.61758,332.46762,241.99475,560.7926,324.1794,174.23224,256.1421,580.7952,499.1076,415.29755,595.7701,587.198,868.97894,601.12286,
65,98.98422423434683,1.1943096,,,,,,,,,,,0,0,0,0,0,18.292639,57.511368,259.28012,20.490622,180.71236,104.72454,37.414948,284.74402,172.86218,62.206722,1051.6101,32.131668,483.2248,0,0,115.630356,548.561,66.189575,0,340.008,152.4374,203.87363,424.34396,419.1956,413.43567,247.2316,276.98828,865.6095,2084.39,213.02478,2092.2979,457.37067,418.56992,0,743.0792,158.6682,78.479195,0,0,0,0,0,73.75599,0,0,2227.1628,161.09889,0,30.01579,0,0,0,0,715.2585,334.27744,0,0,0,0,0,740.6226,0,0,0,0,0,64.725525,1303.7214,804.8848,131.78151,0,205.57028,232.7591,0,1042.1753,173.10403,282.53717,1441.9044,430.2645,300.53094,174.63797,263.23438,493.48502,145.9939,279.28616,1067.3671,4942.677,381.27448,788.194,779.5354,34.47726,359.24207,434.92703,457.16492,1351.2761,86.14845,1388.4933,321.30316,951.3285,475.7323,123.40765,206.9862,0,652.66956,131.22885,1721.119,129.04782,742.85986,149.31964,438.5703,847.33044,695.85693,17.795198,
143,100.07578184472192,1.5645489,,,,,,,,,,,0,0,0,0,0,281.77686,332.891,20.98824,17.558853,100.358925,142.29175,768.5848,176.86823,103.01931,314.58298,601.3605,213.04016,97.70838,0,0,45.47399,446.7747,190.95439,49.10607,120.810005,13.544674,14.872277,56.365852,73.64722,331.69165,43.141907,172.67183,145.07553,50.026447,27.51741,526.70374,135.88774,353.7965,0,59.834827,65.930534,477.99985,0,0,0,0,0,202.62595,0,0,20.442505,17.577587,0,799.4119,0,0,0,0,49.266296,8.534801,0,0,3.6780818,0,0,626.1994,0,0,0,0,0,182.205,469.03195,258.36096,457.0173,267.42624,26.211351,1634.1846,0,29.2251,305.80276,71.296814,174.81628,207.73407,177.56946,191.88153,346.38992,30.377468,1163.6898,225.4062,107.23801,1758.1425,37.48842,214.81523,132.12843,172.39726,301.0277,273.26465,114.72701,593.1519,661.58453,161.54156,190.11954,75.583275,39.818413,128.63428,627.89465,193.84639,217.88963,20.433064,19.257982,21.46278,235.53418,43.749813,2668.0557,39.410652,1021.3389,159.841,
171,101.05977633512644,1.7750897,,,,161,,,,,,,0,0,0,0,0,22.88949,4.422039,37.54773,23.7655,86.75155,7.154901,87.45673,35.057407,32.713203,55.295002,54.249207,595.1734,105.797775,0,0,10.96703,40.032013,28.191017,1007.2918,15.249167,8.598974,137.94717,65.646416,107.099,62.15696,41.22324,52.50199,18.53803,119.57913,51.217495,45.42218,33.925594,31.202127,0,92.660904,229.61823,209.46387,0,0,0,0,0,265.17484,0,0,65.16287,91.25968,0,574.61237,0,0,0,0,44.82402,59.939724,0,0,0,0,0,86.675385,0,0,0,0,0,36.153088,9.686456,20.242485,146.30972,36.89538,201.67693,94.786575,0,46.635628,36.36942,153.22177,165.34666,1025.8214,38.631424,99.672066,985.9489,72.90474,487.5381,128.37921,29.314774,79.38324,130.76086,73.09742,104.019066,19.780216,0,47.321075,21.746145,29.026495,326.3673,216.16995,61.31299,27.86385,48.616703,56.82232,148.73235,805.691,8.216643,565.0341,476.93817,8.010702,0,1087.1311,154.91754,206.04813,113.57411,206.68732,
111,101.05980336827052,1.4216744,,,,,,,,,,,0,0,0,0,0,93.087555,76.899025,91.405014,31.571962,144.78983,87.8985,182.47849,224.40129,134.67313,399.93207,93.7281,75.53308,109.82368,0,0,197.20804,46.17195,56.074562,164.4413,102.65687,45.2259,57.140125,99.71467,169.31221,187.93858,146.91655,231.72054,202.9097,158.68422,147.60631,80.49639,142.69044,146.64049,0,153.93263,109.57137,129.44852,0,0,0,0,0,130.0252,0,0,135.91132,113.61742,0,199.27138,0,0,0,0,140.20952,191.58861,0,0,0,0,0,132.86945,0,0,0,0,0,61.89583,0,91.550446,49.01946,218.11449,180.2146,133.86836,0,173.30595,75.21177,133.75864,141.09647,150.12102,40.097404,204.41162,193.87735,229.81816,221.25049,166.31259,86.277336,89.621925,132.33446,108.47099,152.00655,74.24337,11.460159,226.7099,169.61511,179.96194,119.62219,186.55296,104.010635,119.650024,109.875015,109.868385,394.51544,123.6893,105.57707,66.55713,127.111565,126.41149,53.15506,193.02415,153.63783,148.16884,110.626625,112.35999,
112,103.05430024036426,1.4036006,,,,70,4,[M+H]+,,1,113,102.04702,0,0,0,0,0,36.9458,23.423649,48.893005,56.303524,97.910225,28.217628,73.7291,48.80262,56.59853,75.05677,83.69932,33.00072,106.08732,0,0,24.12165,69.12635,15.539791,31.78509,238.05981,27.464586,25.38731,150.78918,76.887,257.65347,101.949326,52.08504,71.70886,176.16412,105.06479,181.51707,204.16928,137.17163,0,172.31989,73.286995,72.76893,0,0,0,0,0,58.397034,0,0,124.72142,111.5283,0,88.68894,0,0,0,0,389.74368,63.624046,0,0,0,0,0,473.0743,0,0,0,0,0,167.4018,0,136.47948,164.0898,96.80755,197.0113,182.56723,0,167.93216,38.200836,99.564445,91.75973,107.66387,47.963745,143.07545,126.475716,110.81608,113.84211,184.18456,149.19708,321.7027,92.80553,212.71779,147.09132,39.26964,40.313377,138.90268,227.25488,73.46396,121.101425,151.86868,136.3093,144.59084,75.681046,163.81682,102.98708,44.954967,56.9472,43.479492,107.54689,151.83328,39.032745,86.627556,297.99277,66.986404,360.96954,37.207863,
653,103.07542438533048,3.3733783,,,,176,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.1829948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.13794,0,0,0,0,0,0,0,68.36592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.21246,0,0,0,0,0,0,3.727425,0,54.251,0,0,80.83701,0,0,0,0,0,41.13381,0,0,0,0,0,0,0,0,0,0,116.35752,18.676777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
340,105.03355151313514,2.6327507,,,,79,,,,,,,0,0,0,0,0,49.048912,402.33853,0,0,0,15.740662,123.033966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.619446,0,0,0,0,0,0,0,3.993843,89.49544,0,36.039692,0,0,0,0,0,386.15744,276.78308,362.90057,401.82446,3746.0566,437.70755,317.16226,0,0,438.1595,37.898663,400.80228,379.71945,423.8726,375.8106,0,0,383.60223,0,295.03726,285.9985,418.1998,0,371.75436,380.44177,474.13385,366.0985,411.19025,0,0,0,0,0,0,0,0,0,0,0,63.52362,0,0,0,0,0,183.51501,0,0,0,0,0,86.01229,0,813.2649,246.80025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744.0828,138.99086,
