genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Abyssivirga	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria							16.077777582164245								19.635757963417507												19.32483162720781	13.225100044287256					19.39809427696476				24.06269200926891							17.52585358528079					17.772744434808683			20.91023141954401	10.962699096827617	13.170659230204702					16.62191412862464		15.391715113681382						19.55441392181168		16.742069426835197											27.01391163185372				23.94096186134099								16.884900179719715				
Acetanaerobacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria				16.099315239020083			17.935377884063797		18.57046456574536						14.10136737303035					12.999529760006322							14.488477101500845	19.2466208908948	28.78722865252092				34.620207456820474		13.124823930235191		17.979093700870532							34.18401694752439	11.223006713128028							28.367334725950005	13.143844283714824	12.54648860201353										10.281770852218154				17.202638084182855	22.57052061050488	16.81585302890987									30.209367928868154	29.082452704094774				19.412859408596464					46.23360848415316			17.809452295591043				18.658799796098872
Acetivibrio	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		18.6017137782809					16.053552277246393	11.152172093597263	33.83533804548715					33.357238568855664	18.763628697635045												11.938057030725949			14.861877631592966			25.555814831231874	27.62668789164793		19.08175711863929	16.82814339223711		19.1125838552573	14.99895134230793	16.465440696565018			27.31156340503526	20.127372708184005	17.427512410356876					25.672842861090487	99.98390788852544		15.823288659522628			17.546960772717025	18.57367523379996	13.77670991179376	1.0106382978723405	14.325884923420013						13.52369904513019	14.702326249866356	13.61330680187349		12.19721738458136		15.493494767306924						22.79468956711654	16.75171301356467				16.96538204520802					15.68139919844189						14.683056929873286	11.139416165696703
Acetoanaerobium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria																																																												1.0106382978723405																																				
Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria															29.62663796729028																18.05919451048503					17.10718768400831					25.02767190004347								13.940584948186904					19.10206728388453					29.33051689496068										12.041562599466657																											
Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			953.5412296117303													130.48963285892538																					107.68432490702499																																36.1759463884309																				32.20232924626206							
Acutalibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria			35.892640872659946	53.55004673533937	12.49860666516816		80.12076602786539	25.68298592171202	35.05891033265266	18.456644654004847		18.202133504716183		13.882753948624416	68.31166725542906	44.9833428310945	32.0882878537654		23.284911607341265	30.502087903434507						14.770011470725716	70.39027380574674	47.927317264172544	106.752530460528			22.783266587596003	33.554592946969926		27.938211220538264		48.05997773826088		21.06396826218837	19.185143645049884	45.25480486700472			24.06142387783582	15.083123333464226	49.13962077801844	30.12197225941137		67.4210439088762	19.11963110829464		18.707360819866317	39.52645710383735	32.37448766205876	50.97026530399368				34.16010845948548		49.068501734244144		23.053863749354267		15.176377727934502	39.36556547314059	29.4514321377192	35.79003044733364	51.70706430696134	34.84391959749551		18.83087239037528			26.051753400907632				48.60507084858468	50.78026045609905			10.968360284188158	35.53792213388868			15.095803224303054		26.54859613852101			27.968987270875637	10.728289332188936		15.836876525227758	37.80311199280096
Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria														16.084197131443485	13.755440150444873													12.080743305225562	15.12433685604272				16.035442790147076								12.122201202652606			24.15566575217297							19.06062664224345	17.205845346494577	26.060970278770107	15.224875099052378					16.064964827660123		20.946961239730435						14.206332661291029		17.080264949364704				32.02389122311168						15.05040822249986	12.256214723237193									14.705411365703414			20.003597696388773				
Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																																					25.135866681307537																11.582824880835837																																											
Agathobacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria																																				11.710953882695875																																																												
Agathobaculum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		16.72834720069593			11.540727968429564				28.401581781620525							11.884445781541574											12.672247757171656						16.13160691325133											18.990955388265107	11.76108463569157	15.38053551477593					27.52208120601692							13.93686399083555								13.230516988316127													21.5527843477254	14.023918570602024				17.935799940510545					13.656457114040956							
