genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Abyssivirga	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria							0.0004064150046047								0.0003285934361399												0.0002788254116005	0.0002357541409395					0.0002431326365808				0.0003563470664524							0.0003291487357788					0.0002500632368805			0.0003428243994416	0.0001145826924152	0.0001345331334355					0.0002603601724354		0.0002141009196505						0.0002964541762831		0.0002249371144274											0.0005452839391989				0.0002995690815753								0.0002082190620495				
Acetanaerobacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria				0.0003513830071593			0.0004533715339753		0.0002577799079087						0.0002359785024855					0.0004130506405695							0.0002090448014875	0.0003430953685739	0.000396540148941				0.0004339241885192		0.0004282720071211		0.0002662543864714							0.0006420015953785	0.0001652167220646							0.000465084020165	0.000137380133616	0.0001281574745606										0.0114115103798203				0.0004583336819381	0.0003032449363227	0.0003389267969144									0.0003995683873932	0.0005870380635048				0.0002429097250756					0.000882944225582			0.000219620336107				0.0003353788046391
Acetivibrio	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		0.0002516159257974					0.0004058026359263	0.0002206952444707	0.0004696743204537					0.0006906975581086	0.0003139988402636												0.0001722464510695			0.0003707405800282			0.0003203125292192	0.0005459172408735		0.0003902040227115	0.0002492098360962		0.0003114218838437	0.0002710621198956	0.0002550725104809			0.0005129317395679	0.000296300147333	0.0003388918310229					0.0003203819056193	0.0016392416940768		0.000161628705702			0.000621373305454	0.0002039091343953	0.0002157938333979	0.002127659574468	0.0001992750719629						0.0002050256825264	0.0003917173220863	0.0001829008034646		0.0003760742880578		0.0003508093460275						0.0003014971174805	0.0003381383705125				0.0002122848675543					0.0002994748046987						0.0004173457145663	0.0002002231718467
Acetoanaerobium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria																																																												0.002127659574468																																				
Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria															0.0004957852296348																0.0002562532921429					0.0003498259311277					0.0003877133458303								0.0001961445970788					0.00019512014713					0.0004594235283192										0.0001617837242975																											
Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			0.0213923190562143													0.0028594200253953																					0.0015947090736458																																0.0004860398547417																				0.0006149825114348							
Acutalibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria			0.0008052371533328	0.0011687811671506	0.0002032987957703		0.0020252974223424	0.0005082519180264	0.0004866589440956	0.0012124183573543		0.0003024966929472		0.0002874573754762	0.0011431575757723	0.0009857202329592	0.0018838893825964		0.0004273166505907	0.0009691817457878						0.0007541876772225	0.0010156154239878	0.0008543650687946	0.0014705015491284			0.0016069450266325	0.0004205679452894		0.0009116429948619		0.0007117255240686		0.0003432178886493	0.0003467152861721	0.000701059686253			0.0004518916703195	0.0002220424757241	0.000955558984502	0.0019731411148572		0.0009486168293005	0.0011922199356671		0.0003067082142483	0.0004131325539988	0.0003306927308967	0.0014452679644992				0.0005350726552972		0.0006825497528758		0.0008813649787572		0.0005422458813753	0.0005552892494659	0.0004464976597947	0.0009535616776525	0.0006947072995695	0.0007022859941045		0.0003786165431553			0.0005359450595755				0.0006428816989429	0.0010250148454027			0.0006199265406764	0.0004446798234926			0.0007045882485088		0.0005070106017325			0.0003449043958821	0.0010988722044647		0.0004501414508904	0.0006794843532452
Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria														0.0003330406280452	0.0002301896037358													0.0002153545342037	0.0002083356776687				0.0002009856962567								0.0001877897075637			0.0004536616037293							0.0002378653551919	0.0002820907851017	0.0002723905960676	0.0001555161452012					0.0002516363025541		0.0002913751737339						0.0002153747314517		0.000229480920991				0.000725096597376						0.0001990663080814	0.0002473953840906									0.0002808359216565			0.0002466778189758				
Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																																					0.000372239828826																0.0001210642788694																																											
Agathobacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria																																				0.0002394780148602																																																												
