species	genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Abyssivirga alkaniphila	Abyssivirga	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria							0.0004064150046047								0.0003285934361399												0.0002788254116005	0.0002357541409395					0.0002431326365808				0.0003563470664524							0.0003291487357788					0.0002500632368805			0.0003428243994416	0.0001145826924152	0.0001345331334355					0.0002603601724354		0.0002141009196505						0.0002964541762831		0.0002249371144274											0.0005452839391989				0.0002995690815753								0.0002082190620495				
Acetanaerobacterium elongatum	Acetanaerobacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria				0.0003513830071593			0.0004533715339753		0.0002577799079087						0.0002359785024855					0.0004130506405695							0.0002090448014875	0.0003430953685739	0.000396540148941				0.0004339241885192		0.0004282720071211		0.0002662543864714							0.0006420015953785	0.0001652167220646							0.000465084020165	0.000137380133616	0.0001281574745606										0.0114115103798203				0.0004583336819381	0.0003032449363227	0.0003389267969144									0.0003995683873932	0.0005870380635048				0.0002429097250756					0.000882944225582			0.000219620336107				0.0003353788046391
Acetivibrio ethanolgignens	Acetivibrio	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		0.0002516159257974					0.0004058026359263	0.0002206952444707	0.0004696743204537					0.0006906975581086	0.0003139988402636												0.0001722464510695			0.0003707405800282			0.0003203125292192	0.0005459172408735		0.0003902040227115	0.0002492098360962		0.0003114218838437	0.0002710621198956	0.0002550725104809			0.0005129317395679	0.000296300147333	0.0003388918310229					0.0003203819056193	0.0016392416940768		0.000161628705702			0.000621373305454	0.0002039091343953	0.0002157938333979	0.002127659574468	0.0001992750719629						0.0002050256825264	0.0003917173220863	0.0001829008034646		0.0003760742880578		0.0003508093460275						0.0003014971174805	0.0003381383705125				0.0002122848675543					0.0002994748046987						0.0004173457145663	0.0002002231718467
Acetoanaerobium pronyense	Acetoanaerobium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria																																																												0.002127659574468																																				
Acidaminococcus fermentans	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria															0.0004957852296348																0.0002562532921429					0.0003498259311277					0.0003877133458303								0.0001961445970788					0.00019512014713					0.0004594235283192										0.0001617837242975																											
Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			0.0005377497120649																																																																																													
Acinetobacter bouvetii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			0.0003084320346869																																																																																													
Acinetobacter cumulans	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			0.0010800380890167																																																																																													
Acinetobacter equi	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			0.000405432716235																																																																																													
Acinetobacter gandensis	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			0.0008101616320704																																																																																													
