Barcode;ID;Animal;Diet;Week;Weekday
barcode01;DNA C1;Control;Control;3;B
barcode02;G123 H6;123;High;2;6
barcode03;G123 L2;123;Low;1;2
barcode04;G127 H0;127;High;1;0
barcode05;G127 H3;127;High;1;3
barcode06;G127 H7;127;High;1;7
barcode07;G127 L1;127;Low;2;1
barcode08;G136 L6;136;Low;2;6
barcode09;G136 L7;136;Low;2;7
barcode10;G138 H4;138;High;2;4
barcode11;G138 L2;138;Low;1;2
barcode12;G138 L6;138;Low;1;6
barcode13;G142 H1;142;High;2;1
barcode14;G142 H3;142;High;2;3
barcode15;G142 L1;142;Low;1;1
barcode16;G142 L2;142;Low;1;2
barcode17;DNA C2;Control;Control;3;C
barcode18;G123 H4;123;High;2;4
barcode19;G123 L4;123;Low;1;4
barcode20;G127 L0;127;Low;2;0
barcode21;G127 L3;127;Low;2;3
barcode22;G127 L6;127;Low;2;6
barcode23;G134 H3;134;High;1;3
barcode24;G134 H4;134;High;1;4
barcode25;G136 L0;136;Low;2;0
barcode26;G136 L3;136;Low;2;3
barcode27;G136 L4;136;Low;2;4
barcode28;G138 H7;138;High;2;7
barcode29;G138 H2;138;High;2;2
barcode30;G138 L3;138;Low;1;3
barcode31;G138 L4;138;Low;1;4
barcode32;G142 H2;142;High;2;2
barcode33;DNA C3;Control;Control;3;C
barcode34;G123 L0;123;Low;1;0
barcode35;G123 L6;123;Low;1;6
barcode36;G127 H1;127;High;1;1
barcode37;G127 H5;127;High;1;5
barcode38;G134 H0;134;High;1;0
barcode39;G134 H2;134;High;1;2
barcode40;G134 H5;134;High;1;5
barcode41;G136 H3;136;High;1;3
barcode42;G138 H5;138;High;2;5
barcode43;G138 H6;138;High;2;6
barcode44;G138 L7;138;Low;1;7
barcode45;G142 H7;142;High;2;7
barcode46;G142 H5;142;High;2;5
barcode47;G142 L5;142;Low;1;5
barcode48;DNA C4;Control;Control;3;C
barcode49;G123 H0;123;High;2;0
barcode50;G123 H2;123;High;2;2
barcode51;G123 H5;123;High;2;5
barcode52;G123 L3;123;Low;1;3
barcode53;G127 H4;127;High;1;4
barcode54;G127 L5;127;Low;2;5
barcode55;G134 H6;134;High;1;6
barcode56;G136 H4;136;High;1;4
barcode57;G136 H7;136;High;1;7
barcode58;G138 H3;138;High;2;3
barcode59;G138 L0;138;Low;1;0
barcode60;G142 H0;142;High;2;0
barcode61;G142 H4;142;High;2;4
barcode62;G142 L6;142;Low;1;6
barcode63;G142 L7;142;Low;1;7
barcode64;DNA C5;Control;Control;3;C
barcode65;G123 L5;123;Low;1;5
barcode66;G127 H2;127;High;1;2
barcode67;G127 H6;127;High;1;6
barcode68;G127 L7;127;Low;2;7
barcode69;G134 H1;134;High;1;1
barcode70;G134 H7;134;High;1;7
barcode71;G136 H0;136;High;1;0
barcode72;G136 H1;136;High;1;1
barcode73;G136 H6;136;High;1;6
barcode74;G136 L5;136;Low;2;5
barcode75;G138 H1;138;High;2;1
barcode76;G138 L5;138;Low;1;5
barcode77;G142 L3;142;Low;1;3
barcode78;G142 L4;142;Low;1;4
barcode79;DNA C7;Control;Control;3;C
barcode80;DNA C6;Control;Control;3;C
barcode81;G123 H1;123;High;2;1
barcode82;G123 H3;123;High;2;3
barcode83;G123 H7;123;High;2;7
barcode84;G123 L7;123;Low;1;7
barcode85;G127 L2;127;Low;2;2
barcode86;G127 L4;127;Low;2;4
barcode87;G136 H2;136;High;1;2
barcode88;G136 H5;136;High;1;5
barcode89;G136 L1;136;Low;2;1
barcode90;G136 L2;136;Low;2;2
barcode91;G138 H0;138;High;2;0
barcode92;G138 L1;138;Low;1;1
barcode93;G142 H6;142;High;2;6
barcode94;G142 L0;142;Low;1;0
barcode95;PCR B1;Blank;Blank;3;B
barcode96;PCR B2;Blank;Blank;3;B
